#{"t_start": 1762358729.7267962, "env_id": "None"}
r,l,t
-372.4574,501,1.31224
-393.11505,501,1.312288
-379.0905,501,1.312299
-377.57452,501,1.312307
-368.6126,501,2.10347
-389.94327,501,2.103516
-396.93442,501,2.103531
-364.53918,501,2.103538
-379.95694,501,2.987665
-365.67902,501,2.987707
-387.28088,501,2.987718
-401.83975,501,2.987725
-367.52698,501,3.762915
-403.6819,501,3.762955
-351.40106,501,3.762965
-377.8686,501,3.762973
-393.55682,501,4.637155
-370.3315,501,4.637202
-387.72583,501,4.637216
-394.59146,501,4.637224
-332.70697,501,5.413858
-376.07138,501,5.413894
-428.09485,501,5.413904
-390.1866,501,5.413911
-364.82822,501,6.289155
-381.51624,501,6.289197
-360.13855,501,6.289211
-382.74945,501,6.289219
-370.55545,501,7.074008
-350.65805,501,7.074053
-352.9626,501,7.074065
-368.85825,501,7.074072
-358.4774,501,7.94964
-372.92886,501,7.949685
-373.22614,501,7.949695
-376.9272,501,7.949703
-361.0035,501,8.724049
-391.3723,501,8.72409
-378.67142,501,8.7241
-366.57944,501,8.724107
-397.05075,501,9.598746
-377.43542,501,9.59879
-354.91193,501,9.598803
-376.10034,501,9.59881
-397.93024,501,10.370657
-368.33435,501,10.370699
-366.94885,501,10.370712
-374.97882,501,10.37072
-362.6847,501,11.243516
-383.8296,501,11.243559
-362.18454,501,11.24357
-373.9725,501,11.243578
-359.0335,501,12.025042
-352.7432,501,12.025094
-341.29285,501,12.025109
-342.26218,501,12.025117
-364.42636,501,12.89907
-413.87747,501,12.899115
-367.48123,501,12.899128
-381.88452,501,12.899135
-359.25034,501,13.671059
-339.2066,501,13.6711
-365.21317,501,13.671111
-366.0423,501,13.671119
-365.47388,501,14.545564
-393.66016,501,14.545611
-363.895,501,14.545621
-383.94998,501,14.545629
-365.407,501,15.317074
-419.48962,501,15.317115
-358.44458,501,15.317128
-374.10388,501,15.317135
-364.71133,501,16.190688
-378.7256,501,16.190735
-371.56696,501,16.190746
-383.02612,501,16.190753
-352.95862,501,16.971207
-355.87573,501,16.971254
-376.8828,501,16.971265
-370.19354,501,16.971272
-366.1052,501,17.848044
-388.35004,501,17.848088
-365.01056,501,17.848103
-355.46686,501,17.84811
-353.35855,501,18.61786
-382.62344,501,18.617899
-400.88858,501,18.617909
-345.80017,501,18.617916
-361.9568,501,19.492708
-378.38278,501,19.492755
-339.53918,501,19.492767
-373.8177,501,19.492775
-354.7376,501,20.266675
-364.1776,501,20.266715
-377.8066,501,20.266727
-395.31628,501,20.266735
-356.52197,501,21.138694
-409.55182,501,21.138738
-378.08975,501,21.138751
-421.83246,501,21.138758
-371.12903,501,21.922179
-353.53696,501,21.922228
-350.89578,501,21.922238
-343.5746,501,21.922246
-370.20068,501,22.798043
-372.90704,501,22.798091
-377.29364,501,22.798102
-346.80124,501,22.798109
-407.18887,501,23.571193
-394.66046,501,23.571231
-383.0832,501,23.571241
-354.16187,501,23.571249
-367.35266,501,24.445333
-362.7921,501,24.445378
-358.29648,501,24.445389
-347.24097,501,24.445397
-361.32718,501,25.220134
-359.62122,501,25.220176
-371.82373,501,25.220187
-383.41568,501,25.220194
-348.21298,501,26.095199
-371.3568,501,26.09525
-353.1387,501,26.095264
-370.1691,501,26.095274
-455.74945,501,26.877423
-347.6106,501,26.877465
-356.07703,501,26.877475
-364.54364,501,26.877483
-377.0251,501,27.757309
-387.12473,501,27.757367
-420.80923,501,27.75738
-373.6518,501,27.757392
-360.7783,501,28.534335
-333.74478,501,28.534378
-350.4988,501,28.534389
-362.9125,501,28.534398
-380.2853,501,29.40797
-346.05292,501,29.408027
-357.61673,501,29.408039
-359.70178,501,29.408048
-365.0137,501,30.184934
-381.52414,501,30.184976
-392.57443,501,30.184987
-355.54498,501,30.184996
-386.08853,501,31.059957
-352.74652,501,31.060009
-342.46252,501,31.060022
-380.711,501,31.06003
-358.75317,501,31.848087
-362.78885,501,31.848147
-357.03387,501,31.848162
-353.49924,501,31.848171
-339.71664,501,32.857493
-352.01328,501,32.85824
-371.93808,501,32.858322
-403.99854,501,32.858332
-353.42953,501,33.74207
-336.58896,501,33.742122
-388.7825,501,33.742134
-353.43582,501,33.742142
-347.4522,501,34.651236
-342.6243,501,34.651287
-360.14456,501,34.651298
-392.00906,501,34.651306
-357.7796,501,35.514108
-351.07428,501,35.514154
-365.89304,501,35.51417
-396.86212,501,35.514177
-352.7843,501,36.496428
-345.6829,501,36.496476
-369.28235,501,36.496488
-348.73587,501,36.496495
-380.97763,501,37.30763
-359.21976,501,37.307716
-345.30945,501,37.307742
-349.53644,501,37.307755
-349.85825,501,38.308519
-369.5735,501,38.308563
-344.98703,501,38.308573
-380.93866,501,38.30858
-386.66238,501,39.10804
-364.6314,501,39.108193
-352.53925,501,39.108214
-345.48087,501,39.108224
-414.01837,501,40.02971
-388.18518,501,40.029769
-383.14706,501,40.029781
-390.50937,501,40.02979
-341.77313,501,40.93429
-343.7994,501,40.934347
-358.69357,501,40.934359
-388.794,501,40.934368
-373.5182,501,41.751348
-352.23804,501,41.751398
-364.428,501,41.75141
-351.00742,501,41.751419
-367.38873,501,42.657679
-355.7021,501,42.657731
-369.24332,501,42.657743
-370.55896,501,42.657752
-363.86887,501,43.562156
-351.0714,501,43.562206
-337.546,501,43.562218
-336.04532,501,43.562227
-342.43454,501,44.443062
-364.57376,501,44.443113
-345.8533,501,44.443124
-341.37103,501,44.443133
-361.23135,501,45.21832
-375.63763,501,45.218356
-350.33926,501,45.218367
-345.50586,501,45.218375
-359.97925,501,46.098482
-349.42465,501,46.09853
-363.94064,501,46.098542
-376.9684,501,46.09855
-407.83304,501,46.982157
-367.67365,501,46.982202
-366.25095,501,46.982213
-366.8493,501,46.982222
-351.16245,501,47.929615
-351.61682,501,47.929744
-355.52252,501,47.929758
-347.61554,501,47.929766
-371.2288,501,48.706357
-390.20004,501,48.706399
-341.77972,501,48.706411
-368.62366,501,48.706422
-376.73102,501,49.583689
-361.89206,501,49.583736
-404.94156,501,49.583747
-347.3089,501,49.583756
-371.29556,501,50.360178
-391.37305,501,50.360222
-357.20047,501,50.360233
-340.27078,501,50.360242
-350.87692,501,51.274057
-362.9307,501,51.274105
-339.5506,501,51.274117
-364.29843,501,51.274125
-350.25476,501,52.063526
-352.37973,501,52.063577
-403.81616,501,52.06359
-344.29688,501,52.063599
-352.69028,501,52.944789
-344.254,501,52.944833
-359.7573,501,52.944845
-354.17615,501,52.944854
-345.70016,501,53.742527
-351.95758,501,53.74332
-336.894,501,53.743366
-349.60373,501,53.743375
-343.33032,501,54.665942
-343.03238,501,54.665998
-349.05142,501,54.66601
-369.70456,501,54.666019
-361.2171,501,55.442292
-367.7276,501,55.442339
-360.11642,501,55.44235
