#{"t_start": 1763179029.037796, "env_id": "None"}
r,l,t
-554.8391,500,6.241978
-1102.0459,500,6.242032
-639.28754,500,6.242046
-487.14267,500,6.242054
-639.22614,500,6.242061
-1276.3959,500,6.242067
-1640.1823,500,11.908385
-1039.7637,500,11.908439
-590.6553,500,11.908455
-603.0697,500,11.908464
-432.48328,500,11.908472
-633.9734,500,11.908481
-511.57788,500,17.703447
-835.59906,500,17.704179
-944.4355,500,17.704202
-413.68695,500,17.704213
-839.28375,500,17.704221
-643.74243,500,17.704228
-743.7042,500,23.430683
-461.21817,500,23.431001
-770.4264,500,23.431025
-698.9024,500,23.431036
-549.8745,500,23.431044
-3186.8936,500,23.431051
-360.62183,500,29.287454
-1182.1223,500,29.287504
-2292.1682,500,29.287517
-745.18256,500,29.287526
-1957.1702,500,29.287534
-4971.8154,500,29.287542
-732.26074,500,34.936398
-576.55554,500,34.936451
-784.22595,500,34.936467
-569.0934,500,34.936476
-736.26685,500,34.936484
-615.6486,500,34.936492
-1399.7999,500,41.117445
-1406.0642,500,41.117763
-579.168,500,41.117784
-595.72107,500,41.117796
-1090.384,500,41.117805
-698.4068,500,41.117813
-2400.6565,500,47.32665
-822.32983,500,47.326707
-1236.9225,500,47.326721
-452.07846,500,47.326732
-464.77515,500,47.326741
-624.2377,500,47.32675
-656.8712,500,53.963445
-1115.4353,500,53.964226
-660.2819,500,53.964266
-431.44543,500,53.96428
-645.919,500,53.964291
-535.2653,500,53.9643
-967.25397,500,60.60966
-526.19366,500,60.609839
-542.6477,500,60.609861
-369.43317,500,60.609872
-342.91138,500,60.609882
-570.9938,500,60.609891
-603.2513,500,67.492214
-574.2332,500,67.492294
-811.1629,500,67.49231
-803.69934,500,67.492321
-609.775,500,67.492331
-446.69647,500,67.492341
-467.32596,500,74.14007
-727.7255,500,74.140135
-1738.5227,500,74.140156
-442.14655,500,74.140167
-1738.8428,500,74.140177
-685.7305,500,74.140187
-498.70154,500,80.97991
-495.9038,500,80.980247
-352.01398,500,80.98027
-1385.1738,500,80.980282
-587.7494,500,80.980292
-974.8305,500,80.980301
-451.95877,500,87.558142
-491.95978,500,87.558202
-533.9505,500,87.558221
-460.36194,500,87.558233
-443.21216,500,87.558243
-521.91766,500,87.558252
-542.0338,500,94.318926
-593.613,500,94.319714
-283.34875,500,94.319755
-888.6576,500,94.319766
-589.7422,500,94.319777
-440.88992,500,94.319789
-436.4761,500,100.93128
-1313.1064,500,100.931611
-526.5747,500,100.931637
-419.9509,500,100.931651
-666.93494,500,100.931662
-678.0234,500,100.931671
-314.2313,500,107.618673
-654.93365,500,107.619465
-576.1712,500,107.619505
-442.4003,500,107.619519
-626.8,500,107.619529
-468.95255,500,107.61954
-736.5757,500,114.123032
-382.71423,500,114.123093
-282.81137,500,114.123112
-421.8682,500,114.123127
-424.22705,500,114.123137
-606.5836,500,114.12315
-1220.6957,500,120.731174
-382.09665,500,120.731976
-303.92688,500,120.732019
-570.702,500,120.732031
-401.05792,500,120.732042
-767.3704,500,120.732051
-712.9067,500,127.225533
-522.8292,500,127.225594
-1791.8245,500,127.225608
-724.67163,500,127.225619
-655.25726,500,127.225629
-857.10596,500,127.225638
-749.48663,500,133.747861
-580.9474,500,133.748629
-476.0525,500,133.748673
-421.30902,500,133.748686
-1130.5677,500,133.748697
-867.79956,500,133.748706
-1769.089,500,140.073221
-464.48358,500,140.073279
-582.1479,500,140.073294
-725.41235,500,140.073305
-325.6017,500,140.073314
-1375.7034,500,140.073323
-686.918,500,146.597855
-598.62616,500,146.598181
-398.49112,500,146.598207
-2366.1802,500,146.59822
-995.666,500,146.598231
-752.464,500,146.598241
-399.8066,500,152.874315
-882.8965,500,152.874376
-481.62454,500,152.874391
-468.73547,500,152.874402
-502.56152,500,152.874412
-608.35944,500,152.874421
-2004.0793,500,159.303375
-1178.7987,500,159.303433
-1059.2053,500,159.303451
-576.5969,500,159.303462
-1238.7329,500,159.303471
-375.99622,500,159.30348
-586.6965,500,165.494823
-391.5573,500,165.494878
-674.3353,500,165.494896
-263.7808,500,165.494906
-277.54987,500,165.494915
-341.12823,500,165.494923
-685.7204,500,171.914779
-472.7966,500,171.914846
-573.5287,500,171.91486
-339.0891,500,171.91487
-401.9998,500,171.914878
-513.3066,500,171.914887
-347.79758,500,178.116223
-765.43396,500,178.116288
-911.71625,500,178.116302
-2722.917,500,178.116312
-379.08728,500,178.116321
-681.75415,500,178.116329
-777.7158,500,184.564356
-604.60657,500,184.56468
-378.1506,500,184.564706
-285.23853,500,184.564719
-407.9091,500,184.56473
-544.1986,500,184.564739
-17501.49,500,190.927633
-314.13272,500,190.927698
-718.69434,500,190.927716
-337.69266,500,190.927726
-1374.2694,500,190.927736
-360.39032,500,190.927745
-435.9537,500,197.286329
-376.47073,500,197.287039
-1819.5747,500,197.287063
-1952.121,500,197.287075
-615.24316,500,197.287085
-362.45682,500,197.287096
