#{"t_start": 1763618517.032555, "env_id": "None"}
r,l,t
-242.29237,500,1.766401
-243.84967,500,1.766456
-215.98288,500,1.766467
-241.55965,500,1.766474
-217.28018,500,1.766481
-252.0617,500,1.766487
-219.35526,500,2.952123
-251.15245,500,2.952171
-241.25888,500,2.952182
-215.65962,500,2.95219
-246.27925,500,2.952197
-199.0257,500,2.952203
-395.6941,500,4.31215
-305.4504,500,4.3122
-293.22617,500,4.312212
-333.08444,500,4.312219
-235.49898,500,4.312226
-239.20099,500,4.312232
-225.30305,500,5.519444
-207.90553,500,5.519491
-274.76343,500,5.519505
-225.21011,500,5.519513
-196.55798,500,5.51952
-259.27625,500,5.519526
-382.2717,500,6.852388
-272.00937,500,6.852433
-250.45096,500,6.852444
-248.10811,500,6.852452
-299.20056,500,6.852459
-245.79129,500,6.852465
-234.35956,500,8.037258
-274.20816,500,8.037313
-210.16428,500,8.037325
-274.1278,500,8.037332
-243.92949,500,8.037339
-240.63844,500,8.037345
-200.33795,500,9.385225
-265.89554,500,9.385279
-227.66533,500,9.385289
-228.74124,500,9.385297
-227.03738,500,9.385304
-227.39403,500,9.38531
-219.00858,500,10.577946
-225.25221,500,10.577996
-234.7571,500,10.578007
-291.41895,500,10.578015
-249.02199,500,10.578022
-205.52199,500,10.578028
-270.4026,500,11.917164
-262.1572,500,11.917215
-200.41463,500,11.917226
-247.38525,500,11.917234
-192.81226,500,11.917241
-240.91109,500,11.917247
-209.69537,500,13.102648
-206.0765,500,13.102697
-220.66434,500,13.102708
-231.34505,500,13.102715
-204.52481,500,13.102722
-290.60492,500,13.102728
-226.84859,500,14.437697
-275.09836,500,14.437742
-275.35254,500,14.437753
-239.35333,500,14.437761
-231.91396,500,14.437767
-274.73758,500,14.437774
-200.52856,500,15.639754
-243.52126,500,15.639803
-208.30594,500,15.639813
-256.53268,500,15.639821
-214.42096,500,15.639828
-231.68529,500,15.639833
-265.13638,500,16.968303
-205.78424,500,16.968357
-345.46487,500,16.968371
-220.73213,500,16.968378
-219.21237,500,16.968388
-210.3053,500,16.968395
-301.00894,500,18.156484
-303.9734,500,18.156535
-247.37527,500,18.156547
-194.57164,500,18.156554
-214.89091,500,18.156561
-201.94962,500,18.156567
-301.95813,500,19.492799
-293.76147,500,19.492846
-261.54486,500,19.492857
-224.69208,500,19.492865
-202.33171,500,19.492871
-267.68213,500,19.492878
-246.18529,500,20.731382
-288.5146,500,20.731428
-242.33765,500,20.731438
-224.82649,500,20.731446
-192.9827,500,20.731453
-213.68095,500,20.731459
-255.64478,500,22.076338
-237.96147,500,22.076389
-201.67047,500,22.0764
-187.59456,500,22.07641
-340.6198,500,22.076417
-229.51042,500,22.076423
-226.94012,500,23.265667
-229.41913,500,23.265717
-197.33846,500,23.265733
-221.26062,500,23.26574
-212.41212,500,23.265747
-258.0989,500,23.265753
-275.20312,500,24.601472
-209.30325,500,24.601515
-229.41621,500,24.601529
-206.52116,500,24.601536
-201.8181,500,24.601543
-212.60442,500,24.601549
-222.09146,500,25.804026
-197.3,500,25.804077
-213.46431,500,25.804092
-198.66556,500,25.8041
-226.03288,500,25.804107
-231.15587,500,25.804113
-247.89835,500,27.147476
-216.055,500,27.147526
-266.3942,500,27.147537
-192.29361,500,27.147545
-233.7762,500,27.147552
-231.24016,500,27.147558
-235.5897,500,28.337467
-287.07187,500,28.337517
-252.1747,500,28.337529
-255.92412,500,28.337536
-190.0889,500,28.337543
-191.31381,500,28.337551
-205.61488,500,29.684993
-262.8572,500,29.685047
-201.01268,500,29.685062
-216.09222,500,29.685071
-206.39763,500,29.685079
-220.8361,500,29.685086
-266.41574,500,30.901814
-201.4833,500,30.901868
-213.45119,500,30.901881
-240.92468,500,30.90189
-200.94261,500,30.901897
-215.26117,500,30.901905
-248.97816,500,32.248856
-224.84784,500,32.248913
-206.58598,500,32.248925
-251.94533,500,32.248934
-243.67581,500,32.248942
-236.61342,500,32.248949
-189.92851,500,33.477538
-217.04497,500,33.477588
-214.0512,500,33.4776
-209.54639,500,33.477609
-178.4869,500,33.477616
-203.44528,500,33.477624
-301.07858,500,34.855244
-278.1526,500,34.855298
-200.98311,500,34.855314
-244.25105,500,34.855336
-267.12125,500,34.855343
-223.58809,500,34.855349
-222.0934,500,36.06266
-288.06616,500,36.062709
-217.60114,500,36.06272
-217.99007,500,36.062731
-261.14124,500,36.062738
-224.81178,500,36.062744
-267.38275,500,37.411497
-200.58469,500,37.411545
-214.81801,500,37.411556
-213.46585,500,37.411563
-220.02391,500,37.41157
-229.25189,500,37.411576
-207.349,500,38.606443
-210.03853,500,38.606492
-192.20296,500,38.606503
-213.42336,500,38.606511
-275.35638,500,38.606517
-193.62717,500,38.606524
-200.60095,500,39.95559
-197.51283,500,39.955636
-247.74498,500,39.95565
-223.12585,500,39.955658
-220.69368,500,39.955665
-217.01295,500,39.955671
-233.75685,500,41.166103
-225.34435,500,41.166149
-256.8782,500,41.166161
