#{"t_start": 1763562762.375329, "env_id": "None"}
r,l,t
-192.62057,500,1.80566
-170.60553,500,1.805712
-139.1639,500,1.805724
-179.96361,500,1.805732
-173.26645,500,1.805739
-198.91968,500,1.805745
-172.9974,500,3.08185
-132.67378,500,3.081897
-257.63596,500,3.081911
-148.36206,500,3.081919
-122.18726,500,3.081926
-131.83109,500,3.081932
-178.27519,500,17.629029
-151.21912,500,17.629085
-123.29199,500,17.629098
-163.62433,500,17.629107
-182.31311,500,17.629115
-190.24472,500,17.629122
-182.07666,500,18.888619
-129.3667,500,18.888668
-182.03876,500,18.888681
-158.74335,500,18.88869
-157.18294,500,18.888698
-191.81912,500,18.888705
-131.6116,500,33.141102
-148.97655,500,33.14116
-132.4132,500,33.141173
-121.562515,500,33.141182
-139.4321,500,33.14119
-119.058174,500,33.141197
-158.32268,500,34.40277
-135.16103,500,34.402828
-162.93375,500,34.402845
-155.95728,500,34.402853
-126.97736,500,34.402861
-134.60384,500,34.402869
-143.665,500,48.431233
-165.38559,500,48.432005
-114.980865,500,48.432088
-189.9241,500,48.432102
-156.59877,500,48.432113
-129.31343,500,48.432124
-121.09439,500,49.701586
-146.21162,500,49.70164
-171.23459,500,49.701653
-133.2744,500,49.701661
-127.582375,500,49.701669
-155.68633,500,49.701676
-130.12456,500,63.412887
-143.4518,500,63.412948
-142.54854,500,63.412961
-150.19519,500,63.412969
-129.02527,500,63.412977
-169.7211,500,63.412984
-132.38516,500,64.684797
-145.379,500,64.684851
-152.37044,500,64.684867
-133.8222,500,64.684876
-164.05573,500,64.684883
-132.96385,500,64.684894
-132.70963,500,78.246547
-129.37137,500,78.2466
-152.69055,500,78.246616
-139.64421,500,78.246624
-137.90285,500,78.246632
-179.77098,500,78.246639
-141.60321,500,79.514308
-122.957306,500,79.514358
-141.12624,500,79.514371
-124.59118,500,79.514379
-120.68062,500,79.51439
-111.849686,500,79.514396
-130.74483,500,92.824619
-151.64119,500,92.824679
-119.21972,500,92.824696
-133.50316,500,92.824704
-115.52746,500,92.824712
-106.48953,500,92.824719
-147.81267,500,94.09549
-123.14863,500,94.095541
-119.00849,500,94.095553
-155.57344,500,94.095562
-136.57123,500,94.09557
-135.83195,500,94.095577
-122.5846,500,107.505042
-146.31728,500,107.505095
-129.80687,500,107.505111
-172.86191,500,107.50512
-101.985886,500,107.505127
-176.64928,500,107.505135
-108.39931,500,108.772972
-115.209305,500,108.773024
-103.32147,500,108.773036
-124.25362,500,108.773045
-148.56656,500,108.773053
-136.15863,500,108.77306
-133.84991,500,121.197813
-146.57895,500,121.197866
-167.19672,500,121.197883
-141.13675,500,121.197892
-190.1452,500,121.197899
-157.9723,500,121.197907
-121.95656,500,122.477742
-147.97263,500,122.477788
-117.00109,500,122.477801
-119.78589,500,122.477809
-132.23773,500,122.477817
-129.15346,500,122.477824
-155.80434,500,135.294139
-139.87183,500,135.294196
-160.49544,500,135.294213
-112.97373,500,135.294222
-134.98729,500,135.294229
-132.44293,500,135.294236
-128.89516,500,136.573256
-113.614075,500,136.573311
-110.80938,500,136.573326
-119.611725,500,136.573335
-122.21791,500,136.573342
-126.34066,500,136.57335
-131.0076,500,149.490502
-175.70961,500,149.490554
-122.64574,500,149.490568
-118.53505,500,149.490576
-128.12645,500,149.490587
-118.9674,500,149.490595
-133.32967,500,150.781242
-115.98052,500,150.781293
-125.138,500,150.781305
-164.12709,500,150.781314
-160.14822,500,150.781322
-141.78563,500,150.781329
-118.64559,500,163.297744
-129.07564,500,163.298531
-130.76285,500,163.298594
-114.29878,500,163.298602
-187.90685,500,163.29861
-135.185,500,163.298617
-144.99316,500,164.597817
-105.49432,500,164.597877
-111.357216,500,164.59789
-112.101845,500,164.597899
-137.70384,500,164.597906
-118.93782,500,164.597913
-123.74984,500,176.450836
-133.81421,500,176.450892
-264.6663,500,176.450905
-117.09023,500,176.450914
-111.02022,500,176.450925
-117.770836,500,176.450933
-104.70036,500,177.764921
-118.68505,500,177.764974
-113.564095,500,177.76499
-119.85277,500,177.764999
-158.81891,500,177.765006
-142.64586,500,177.765021
-115.13912,500,191.202665
-141.62543,500,191.203515
-123.58973,500,191.203614
-123.484314,500,191.203652
-113.53784,500,191.203677
-141.30618,500,191.203697
-175.7459,500,192.541084
-146.27765,500,192.541135
-115.68279,500,192.541149
-150.30103,500,192.541158
-127.79673,500,192.541165
-117.99679,500,192.541173
-115.72354,500,205.398852
-120.328964,500,205.398907
-136.34273,500,205.39892
-107.022804,500,205.398928
-108.05653,500,205.398936
-113.22614,500,205.398943
-113.55134,500,206.683131
-176.23334,500,206.683184
-118.30533,500,206.683201
-122.11482,500,206.683209
-106.21686,500,206.683217
-120.37443,500,206.683226
-101.24505,500,220.133561
-117.65909,500,220.133615
-128.33604,500,220.133628
-109.69369,500,220.133636
-157.60143,500,220.133647
-110.66952,500,220.133654
-119.58069,500,221.426152
-104.83597,500,221.426206
-115.151245,500,221.426222
-116.096146,500,221.426231
-103.477776,500,221.426238
-114.69847,500,221.426245
-105.75387,500,235.054339
-141.29878,500,235.054392
-158.84412,500,235.054405
-141.85902,500,235.054413
-168.10204,500,235.054421
-107.619644,500,235.054428
-121.723625,500,236.341703
-113.29632,500,236.341754
-106.94164,500,236.341767
-125.69513,500,236.341775
-119.7829,500,236.341785
-104.007675,500,236.341792
-153.10033,500,249.59538
-113.47218,500,249.595433
-111.44144,500,249.595446
-111.01436,500,249.595455
-100.15743,500,249.595463
-164.36244,500,249.59547
-120.37669,500,250.893247
-99.78141,500,250.893298
-113.811584,500,250.893311
-98.72915,500,250.893319
-145.63916,500,250.893327
-109.058624,500,250.893334
-91.1068,500,264.94924
-106.631165,500,264.949292
-109.06471,500,264.949304
-133.98662,500,264.949313
-114.2751,500,264.949321
-102.254425,500,264.949328
-105.88377,500,266.236925
-102.54601,500,266.236979
-109.438385,500,266.236992
-120.62031,500,266.237
-86.75959,500,266.237008
-106.079895,500,266.237015
-95.81942,500,280.283887
-119.29079,500,280.283943
-109.69542,500,280.283956
-147.11392,500,280.283965
-110.346275,500,280.283972
-112.09033,500,280.28398
-96.934875,500,281.569973
-102.02898,500,281.570022
-113.65579,500,281.570034
-94.69501,500,281.570042
-102.86163,500,281.57005
-94.403694,500,281.570056
-128.38516,500,295.841602
-107.24274,500,295.841656
-121.36285,500,295.841673
-105.534325,500,295.841681
-122.48717,500,295.841689
-95.1861,500,295.841696
-157.18384,500,297.133594
-103.013824,500,297.133648
-122.63989,500,297.133661
-95.49607,500,297.13367
-101.283646,500,297.133681
-113.88487,500,297.133688
-107.440735,500,298.458997
-102.746925,500,298.459044
-139.11378,500,298.45906
-127.99558,500,298.459068
-106.79084,500,298.459077
-107.97282,500,298.459084
-120.77792,500,313.144789
-131.10968,500,313.144847
-137.8276,500,313.14486
-87.08411,500,313.144869
-111.79632,500,313.144877
-114.462265,500,313.144884
-88.731705,500,314.44156
-98.01071,500,314.441613
-105.48095,500,314.441625
-129.79443,500,314.441633
-102.75354,500,314.441641
-128.63754,500,314.441648
-79.86131,500,329.082693
-100.98984,500,329.083497
-108.678505,500,329.083545
-125.67526,500,329.083556
-88.19864,500,329.083564
-86.73863,500,329.083571
-74.82436,500,330.439313
-89.22668,500,330.439373
-133.02441,500,330.439385
-141.02783,500,330.439393
-93.39904,500,330.439401
-132.14352,500,330.439407
-115.89492,500,344.669976
-104.999985,500,344.670034
-118.48934,500,344.67005
-97.57056,500,344.670059
-97.03307,500,344.670067
-114.308464,500,344.670074
-135.3565,500,346.368618
-109.22289,500,346.368682
-82.946075,500,346.368697
-91.53034,500,346.368706
-205.96173,500,346.368714
-130.79556,500,346.368723
-82.54022,500,363.143191
-85.4841,500,363.143526
-64.23482,500,363.143553
-71.749146,500,363.143564
-101.68648,500,363.143573
-80.10185,500,363.143581
-115.0959,500,364.825652
-93.34933,500,364.825712
-84.91492,500,364.825728
-100.647484,500,364.825738
-102.185524,500,364.825746
-96.64536,500,364.825753
-85.60144,500,379.20831
-66.26962,500,379.208375
-96.49618,500,379.208388
-97.07138,500,379.208396
-100.41441,500,379.208403
-99.682304,500,379.20841
-91.70687,500,380.508281
-100.87948,500,380.508329
-72.21531,500,380.50834
-115.78162,500,380.508348
-64.10525,500,380.508354
-124.01677,500,380.50836
-91.87431,500,393.937322
-118.93375,500,393.937372
-84.914055,500,393.937383
-100.109344,500,393.93739
-96.73012,500,393.937397
-70.31453,500,393.937404
-89.48782,500,395.221409
-104.13401,500,395.221459
-127.436134,500,395.221474
-75.19941,500,395.221481
-108.24698,500,395.221488
-87.63272,500,395.221495
-111.527664,500,409.005498
-102.569756,500,409.005553
-42.577526,500,409.005569
-65.61653,500,409.005578
-104.92709,500,409.005586
-91.85428,500,409.005593
-139.14114,500,410.296055
-128.02242,500,410.296111
-123.52348,500,410.296124
-46.72463,500,410.296132
-126.498566,500,410.29614
-41.865414,500,410.296147
-86.71263,500,423.227511
-106.435,500,423.227858
-87.347786,500,423.227881
-110.99191,500,423.227891
-133.33609,500,423.227899
-91.24092,500,423.227906
-85.55657,500,424.604512
-122.61068,500,424.604568
-185.29158,500,424.604582
-58.76357,500,424.604591
-88.96596,500,424.604598
-115.13444,500,424.604605
-102.49696,500,436.411622
-51.047436,500,436.411679
-49.179855,500,436.411696
-65.42123,500,436.411705
-94.12529,500,436.411713
-86.62294,500,436.41172
-53.448204,500,437.804427
-45.927807,500,437.804485
-70.369415,500,437.804498
-90.62617,500,437.804507
-112.03415,500,437.804515
-145.26984,500,437.804522
-112.039986,500,452.802416
-9.035776,500,452.803179
-130.283,500,452.803204
-60.213047,500,452.803214
-68.37462,500,452.803223
-59.955433,500,452.80323
-29.463505,500,454.083878
-13.668923,500,454.083933
-67.262985,500,454.08395
-87.590515,500,454.083958
-67.05129,500,454.083966
-58.836426,500,454.083973
-38.839844,500,468.137305
-109.485405,500,468.137359
-27.705519,500,468.137372
-46.172817,500,468.137381
-10.945195,500,468.137391
-162.13144,500,468.137398
-73.62816,500,469.448039
-21.542685,500,469.448093
-13.697648,500,469.44811
-82.67307,500,469.448118
-101.29785,500,469.448126
-9.583675,500,469.448133
-36.516212,500,481.356094
-11.271235,500,481.356147
-47.709663,500,481.35616
-69.41345,500,481.356168
-85.287605,500,481.356176
-31.519386,500,481.356183
-31.508179,500,482.627234
-79.177124,500,482.627293
-14.576799,500,482.627308
-17.056648,500,482.627316
-120.87133,500,482.627327
-23.209927,500,482.627334
-70.88296,500,495.933956
-35.34901,500,495.934011
-9.60063,500,495.934025
-4.0040555,500,495.934034
-36.136486,500,495.934041
-38.91025,500,495.934048
-52.43154,500,497.258077
-75.03077,500,497.258426
-15.405637,500,497.258448
-43.0454,500,497.258458
-170.91687,500,497.25847
-69.37357,500,497.258477
-9.505458,500,510.281454
-9.644371,500,510.281784
-80.34449,500,510.281801
-30.66624,500,510.28181
-39.3805,500,510.281818
-17.690355,500,510.281825
-41.318417,500,511.540702
-56.777935,500,511.540759
-65.09724,500,511.540772
-130.84662,500,511.540781
-52.50104,500,511.540789
-164.8135,500,511.540795
-9.114336,500,523.670515
-65.25065,500,523.670568
-14.48216,500,523.670585
-56.149704,500,523.670594
-27.87215,500,523.670601
-22.585121,500,523.670608
-53.48021,500,524.922057
-83.71046,500,524.922106
-43.28943,500,524.922118
-21.716679,500,524.922127
-17.21371,500,524.922134
-12.126502,500,524.922142
-130.79741,500,539.11463
-37.172886,500,539.114973
-109.39825,500,539.114998
-20.425804,500,539.115008
-25.359928,500,539.115016
-96.21964,500,539.115023
-75.581696,500,540.380667
-73.2607,500,540.380718
-26.742016,500,540.380732
-37.947052,500,540.38074
-9.812091,500,540.380748
-101.10327,500,540.380755
-67.465904,500,554.572083
-58.474457,500,554.572137
-8.842211,500,554.57215
-47.637093,500,554.572159
-31.061838,500,554.572167
-41.850636,500,554.572175
-14.085339,500,555.870615
-9.724099,500,555.870668
-39.56873,500,555.870681
-17.707647,500,555.87069
-30.579718,500,555.870698
-26.251898,500,555.870705
-70.612755,500,570.170296
-19.914186,500,570.171107
-37.279434,500,570.171159
-55.86328,500,570.171169
-33.111034,500,570.171177
