#{"t_start": 1763848939.568932, "env_id": "None"}
r,l,t
-230.31688,500,1.855537
-458.0994,500,1.855591
-219.66211,500,1.855606
-251.62094,500,1.855613
-250.51439,500,1.85562
-292.75653,500,1.855627
-246.81244,500,3.086934
-307.45447,500,3.086981
-228.80045,500,3.086993
-218.98912,500,3.087001
-238.32112,500,3.087008
-247.73825,500,3.087014
-303.00113,500,4.487772
-365.27768,500,4.48782
-270.7928,500,4.487831
-269.00647,500,4.487839
-217.53273,500,4.487846
-238.55789,500,4.487853
-297.6959,500,5.70257
-211.4785,500,5.70262
-225.54048,500,5.70263
-218.35356,500,5.702638
-258.34683,500,5.702645
-231.5788,500,5.702651
-258.44357,500,7.089217
-244.19911,500,7.08926
-230.75476,500,7.089271
-234.37245,500,7.089279
-231.26895,500,7.089285
-255.36763,500,7.089291
-231.3605,500,8.302232
-201.20786,500,8.302278
-220.62456,500,8.302289
-230.13133,500,8.302297
-261.79,500,8.302303
-245.45302,500,8.302309
-229.5983,500,9.679409
-263.5259,500,9.679456
-208.95338,500,9.679469
-218.43974,500,9.679476
-261.27246,500,9.679483
-240.55551,500,9.679489
-228.56128,500,10.898001
-226.24146,500,10.898044
-298.3092,500,10.898055
-213.23676,500,10.898063
-223.50089,500,10.89807
-226.30095,500,10.898076
-214.6855,500,12.308421
-306.79733,500,12.308466
-232.02943,500,12.308477
-233.6527,500,12.308484
-241.97691,500,12.308491
-316.34723,500,12.308497
-223.32599,500,13.52816
-228.78537,500,13.528211
-215.5006,500,13.528224
-201.36891,500,13.528232
-202.97034,500,13.528239
-200.36075,500,13.528246
-229.58961,500,14.89459
-268.93768,500,14.894645
-263.80795,500,14.894662
-223.56976,500,14.894671
-221.64532,500,14.894679
-207.69072,500,14.894686
-255.4963,500,16.133877
-267.75677,500,16.133929
-194.95982,500,16.133941
-270.8924,500,16.133949
-233.504,500,16.133957
-256.5266,500,16.133964
-271.70132,500,17.514581
-196.81367,500,17.514634
-292.13797,500,17.514647
-214.8246,500,17.514655
-212.9227,500,17.514663
-204.82886,500,17.51467
-229.8889,500,18.747543
-209.97586,500,18.747597
-230.55666,500,18.74761
-212.1504,500,18.747619
-271.33203,500,18.747627
-223.77852,500,18.747635
-266.88974,500,20.122009
-247.90236,500,20.122057
-251.66765,500,20.122069
-268.75348,500,20.122077
-188.5536,500,20.122085
-268.0707,500,20.122092
-253.46898,500,21.347145
-236.1207,500,21.347189
-272.86884,500,21.3472
-200.02405,500,21.347209
-217.94254,500,21.347217
-279.0043,500,21.347225
-194.3431,500,22.739621
-195.68312,500,22.739675
-364.8474,500,22.739687
-310.85495,500,22.739696
-238.99959,500,22.739703
-241.98814,500,22.73971
-215.87971,500,23.955002
-223.4843,500,23.955052
-216.24478,500,23.955065
-232.40814,500,23.955073
-208.75793,500,23.955081
-222.35306,500,23.955088
-264.53574,500,25.333513
-208.1324,500,25.333562
-245.78154,500,25.333574
-194.27235,500,25.333582
-237.42067,500,25.33359
-223.56981,500,25.333597
-201.86037,500,26.55596
-208.29594,500,26.556011
-201.92795,500,26.556026
-199.42276,500,26.556035
-207.76233,500,26.556042
-243.76468,500,26.556049
-224.01743,500,27.967005
-222.76355,500,27.967056
-221.27148,500,27.967068
-203.37212,500,27.967077
-350.40164,500,27.967084
-224.6477,500,27.967092
-251.69806,500,29.195944
-440.30423,500,29.19599
-211.95653,500,29.196002
-212.60138,500,29.19601
-241.12883,500,29.196018
-303.30508,500,29.196025
-217.85593,500,30.562268
-256.90656,500,30.562322
-227.54283,500,30.562335
-235.0201,500,30.562344
-231.60727,500,30.562352
-206.8881,500,30.56236
-201.79433,500,31.785511
-207.04927,500,31.785566
-205.0675,500,31.785578
-244.44914,500,31.785586
-254.76822,500,31.785597
-234.00916,500,31.785604
-321.82553,500,33.175207
-222.30801,500,33.175261
-217.92494,500,33.175273
-238.28189,500,33.175281
-300.62262,500,33.175289
-227.51476,500,33.175297
-200.7517,500,34.397815
-197.82683,500,34.397868
-266.08905,500,34.397879
-250.73608,500,34.397887
-229.07326,500,34.397895
-232.61833,500,34.397902
-251.0827,500,35.778464
-324.7104,500,35.778518
-171.64003,500,35.77853
-211.08908,500,35.778539
-218.57925,500,35.778557
-206.47122,500,35.778564
-228.04143,500,37.019097
-301.42828,500,37.01914
-339.62064,500,37.019151
-230.68152,500,37.019158
-258.78754,500,37.019166
-251.25766,500,37.019174
-202.0015,500,38.399507
-205.96825,500,38.399557
-207.3584,500,38.399568
-223.52463,500,38.399576
-193.65855,500,38.399582
-291.0176,500,38.399588
-214.39037,500,39.625177
-221.06734,500,39.625219
-194.15633,500,39.62523
-207.41211,500,39.625238
-255.38033,500,39.625244
-236.79591,500,39.62525
-201.98927,500,40.995394
-233.40492,500,40.995444
-229.0897,500,40.995455
-206.96681,500,40.995462
-216.95518,500,40.995468
-235.51381,500,40.995474
-225.10574,500,42.242343
-278.52518,500,42.242393
-207.1168,500,42.242403
-217.4881,500,42.24241
-216.47153,500,42.242417
-209.82216,500,42.242424
-225.64418,500,43.623969
-200.03535,500,43.624021
-310.24918,500,43.624033
-202.74176,500,43.624042
-184.64732,500,43.624049
-218.99301,500,43.624056
-214.67433,500,44.85556
-203.26187,500,44.85561
-281.9414,500,44.855624
-232.02333,500,44.855632
-227.43442,500,44.85564
-198.49501,500,44.855648
-186.26918,500,46.247614
-223.78348,500,46.247672
-204.25105,500,46.247685
-213.50577,500,46.247695
-207.4456,500,46.247703
-296.0685,500,46.24771
-209.73349,500,47.518445
-220.08226,500,47.518497
-203.99225,500,47.518509
-230.3184,500,47.518517
-196.59805,500,47.518524
-248.29669,500,47.518535
-196.59413,500,48.910309
-229.69601,500,48.910362
-245.62254,500,48.910374
-256.75558,500,48.910382
-255.21141,500,48.91039
-212.70895,500,48.910397
-228.43694,500,50.14624
-216.50226,500,50.146289
-260.16382,500,50.146304
-210.40678,500,50.146312
-202.57747,500,50.14632
-196.43741,500,50.146327
-210.39244,500,51.525433
-203.29286,500,51.525483
-226.8975,500,51.525495
-297.09888,500,51.525503
-247.39136,500,51.525511
-207.12106,500,51.525517
-297.4332,500,52.777734
-180.47145,500,52.777783
-230.66884,500,52.777795
-192.16147,500,52.777803
-203.69498,500,52.777814
-195.25642,500,52.777821
-199.97353,500,54.158138
-189.01726,500,54.158185
-193.4712,500,54.158197
-293.85822,500,54.158205
-188.44302,500,54.158212
-349.38196,500,54.15822
-196.07777,500,55.396094
-217.04434,500,55.396143
-195.70433,500,55.396156
-220.52051,500,55.39617
-377.92126,500,55.396177
-206.62898,500,55.396185
-180.35603,500,56.695807
-190.35527,500,56.695859
-257.46033,500,56.695871
-236.57945,500,56.69588
-238.38039,500,56.695887
-175.51985,500,56.695894
-253.97408,500,58.342259
-164.86707,500,58.342596
-226.25552,500,58.342617
-184.43178,500,58.342628
-140.1389,500,58.342636
-187.35313,500,58.342643
-203.5393,500,59.58454
-222.61588,500,59.584586
-246.301,500,59.584602
-210.97838,500,59.58461
-470.73132,500,59.584618
-235.80873,500,59.584624
-194.09149,500,60.985703
-206.02032,500,60.98576
-256.166,500,60.985772
-197.37505,500,60.98578
-244.29852,500,60.985787
-251.26901,500,60.985798
-198.08795,500,62.224839
-354.02576,500,62.224891
-205.54219,500,62.224902
-188.68408,500,62.224911
-191.47762,500,62.224918
-214.44647,500,62.224925
